category,platform,folder,author,title,url,description
"AI Agent / Codex / Skill / API","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","64用 Claude 写代码画讲解动画｜手搓了个自动化出片流 总有人问我有没有更省力的视频制作方式，我最近用 Claude 捣鼓了个小东西：让它一行行代码帮我画讲解动画。 ✨ 这不是那种模板套路，Claude 会根据我的脚本实时生成画面，每次都是“现场编排”。 原理也不复杂：视频就是一张张图连起来，Claude 负责把每一帧都算出来。 整个流程很简单： 📄 你写脚本定内容； 🎨 Claude 现场编排生成画面； 🎤 你对着画面念口播； 🔄 最后渲染成 MP4。 它把画面元素分成了固定层（像乐高积木）和内容层，这样既能复用组件，又能每次根据脚本“现拼”，保证每期视频都是独一无二的。 而且，口播和字幕都不用手动对齐，本地转写出时间戳，字幕自动就贴上去了。 两行命令搞定，改代码画面立刻变。 所以，我的工作就只剩下写脚本和开口念了，画面全交给 Claude。 你们觉得这种“代码画”的讲解动画怎么样？ #AI #大模型 #AI编程 #自动化 #Claude #讲解动画用 Claude 写代码画讲解动画｜手搓了个自动化出片流 总有人问我有没有更省力的视频制作方式，我最近用 Claude 捣鼓了个小东西：让它一行行代码帮我画讲解动画。 ✨ 这不是那种模板套路，Claude 会根据我的脚本实时生成画面，每次都是“现场编排”。 原理也不复杂：视频就是一张张图连起来，Claude 负责把每一帧都算出来。 整个流程很简单： 📄 你写脚本定内容； 🎨 Claude 现场编排生成画面； 🎤 你对着画面念口播； 🔄 最后渲染成 MP4。 它把画面元素分成了固定层（像乐高积木）和内容层，这样既能复用组件，又能每次根据脚本“现拼”，保证每期视频都是独一无二的。 而且，口播和字幕都不用手动对齐，本地转写出时间戳，字幕自动就贴上去了。 两行命令搞定，改代码画面立刻变。 所以，我的工作就只剩下写脚本和开口念了，画面全交给 Claude。 你们觉得这种“代码画”的讲解动画怎么样？ #AI #大模型 #AI编程 #自动化 #Claude #讲解动画","https://www.douyin.com/video/7649333763918269711",""
"AI Agent / Codex / Skill / API","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","7.0万GitHub 杀疯了！6 个 AI 工具接管你的工作流 一夜爆 6 个 AI 项目，方向出奇一致：Claude Code、CodeGraph、Understand Anything、Presenton、NVIDIA LongLive 全在抢一件事——接管你的工作流。看完收藏开干。#AI工具 #ClaudeCode #GitHub #工作流 #AI编程GitHub 杀疯了！6 个 AI 工具接管你的工作流 一夜爆 6 个 AI 项目，方向出奇一致：Claude Code、CodeGraph、Understand Anything、Presenton、NVIDIA LongLive 全在抢一件事——接管你的工作流。看完收藏开干。#AI工具 #ClaudeCode #GitHub #工作流 #AI编程","https://www.douyin.com/video/7643843139823799592",""
"AI Agent / Codex / Skill / API","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","1595AI直接生成CAD的项目带逛 带逛3个AI生成CAD项目，第一个为 #texttocad 第二个为多智能体系统生成CAD的论文，第三个为AI生成具身智能环境的论文，最后展示了我自己用AI生成的简单CAD作品，对大家了解目前AI生成CAD的发展水平以及汲取AI在垂直领域应用的研究思路具有一定的帮助作用。 #aigc #ai发展 #科研AI直接生成CAD的项目带逛 带逛3个AI生成CAD项目，第一个为 #texttocad 第二个为多智能体系统生成CAD的论文，第三个为AI生成具身智能环境的论文，最后展示了我自己用AI生成的简单CAD作品，对大家了解目前AI生成CAD的发展水平以及汲取AI在垂直领域应用的研究思路具有一定的帮助作用。 #aigc #ai发展 #科研","https://www.douyin.com/video/7644613028209528064",""
"AI Agent / Codex / Skill / API","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","4.9万codex调用嘉立创EDA，画一个EP4CE6的最小系统板的原理图 全程几乎没有接管 之后会分享一个AI设计PCB布局布线的工具 #pcb #codex #ai #嘉立创codex调用嘉立创EDA，画一个EP4CE6的最小系统板的原理图 全程几乎没有接管 之后会分享一个AI设计PCB布局布线的工具 #pcb #codex #ai #嘉立创","https://www.douyin.com/video/7638275226475756922",""
"AI Agent / Codex / Skill / API","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","4.9万用Claude Code一定要装这SKill！ 这是一个可以让你的Claude Code，变得更好用的开源项目，它的名字叫做andrej-karpathy-skills，短短一个月就涨到了10万 Star，但离谱的是，这个项目里只有一个65行markdown文档，为什么这么短的内容却有这么大的影响力呢？#vibecoding #claudecode #claude #github #开源项目用Claude Code一定要装这SKill！ 这是一个可以让你的Claude Code，变得更好用的开源项目，它的名字叫做andrej-karpathy-skills，短短一个月就涨到了10万 Star，但离谱的是，这个项目里只有一个65行markdown文档，为什么这么短的内容却有这么大的影响力呢？#vibecoding #claudecode #claude #github #开源项目","https://www.douyin.com/video/7635237566043688238",""
"AI Agent / Codex / Skill / API","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","6.8万让Codex干活飞起 #codex #AI应用 #提效神器让Codex干活飞起 #codex #AI应用 #提效神器","https://www.douyin.com/video/7646303972000681267",""
"无人机 / 飞控 / FPV / 垂起固定翼","Bilibili","默认收藏夹","拓渊智能水下机器人","继续展示下我们的wbrov开源案例，自主管道巡检","https://www.bilibili.com/video/BV1Y5SnBMEzR","wbrov开源案例之自主管道巡检，感兴趣的小伙伴可一键三连后私聊发我们的开源资料"
"无人机 / 飞控 / FPV / 垂起固定翼","Bilibili","默认收藏夹","GundaSmart","Pixhawk与ROS强强联合，打造更强的地面小车!","https://www.bilibili.com/video/BV1km411Z73x","pixhawk社区历史悠久，积攒了丰富资源，尤其是硬件资源，无需编码，可以快速上手！与ROS联姻，可以优势互补，缩短我们搭建小车平台的时间和精力，是我们更专注于算法研究和理论验证! 配套文档资料浏览地址：https://gitee.com/gwmunan/ros2/wikis/pages"
"无人机 / 飞控 / FPV / 垂起固定翼","Bilibili","默认收藏夹","-蓝色枫叶-","Pix/Ardupilot使用ExpressLRS--教程","https://www.bilibili.com/video/BV1S54y157Gt","ELRS高频头新用户教程。 此教程适用于Ardupilot/Pix用户。 因为up手里没有完整版本的高频头设备，抱歉没有实物特写镜头，视频中高频头和接收机设备均为手工焊接的工程版本。 视频下方自带时间轴方便大家跳转观看，祝爽飞：)"
"无人机 / 飞控 / FPV / 垂起固定翼","Bilibili","默认收藏夹","FYS飞舜极创","【FYS飞舜极创】PIX飞控四轴飞行器组装调试及试飞教程/保姆级教程/F450多旋翼悬停返航GPS定位/遥控模型飞机/DIY组装/初学入门/技巧分享","https://www.bilibili.com/video/BV1ZE421M7p7","PIX教程资料下载链接 链接：https://pan.baidu.com/s/1cyFGxTszwNXHnpVSJVHTQg?pwd=ejrg 提取码：ejrg"
"无人机 / 飞控 / FPV / 垂起固定翼","Bilibili","默认收藏夹","王菊花fa","Pixhawk基础视频教程全12讲","https://www.bilibili.com/video/BV1Ub411s7N5","https://www.youtube.com/watch?v=pJK78G27qTM 视频来源见出处，应该是国内某位同学出的，只不过在国内视频网站没找到一整套教程，特从YouTube搬运过来。"
"无人机 / 飞控 / FPV / 垂起固定翼","Bilibili","垂起","会上树的菜鸡","泰坦3D打印垂起固定翼飞机制作—开始装电子设备","https://www.bilibili.com/video/BV1zQSUYKECo","泰坦3D打印垂起固定翼飞机制作—开始装电子设备"
"无人机 / 飞控 / FPV / 垂起固定翼","Bilibili","垂起","国哥FPV","泰坦眼镜蛇，手搓全3D打印件2米翼展4+1垂直起降固定翼e VTOL，航程可达140公里，飞行2小时，可用于巡航检测，侦察、作战。","https://www.bilibili.com/video/BV1vbTJzSERa","-"
"无人机 / 飞控 / FPV / 垂起固定翼","Bilibili","垂起","idea-fpv","INAV7.0正式版垂起VTOL4+1固定翼调参配置教程","https://www.bilibili.com/video/BV1Uy421a7mn","inav固件终于迎来支持垂起的固件，简化垂起的调参配置，本人亲测摸索了一个月多，终于捋清垂起的设置要点技巧，这里做成视频教程，希望能帮助到大家配置自己的小大型垂起vtol4+1固定翼，如果对你有所帮助，麻烦一键三连，点赞投币并转发，您的支持将是我持续更新教程与分享diy经验的最大动力"
"无人机 / 飞控 / FPV / 垂起固定翼","Bilibili","垂起","D多无影","垂直起降固定翼无人机","https://www.bilibili.com/video/BV15zumzeEre",""
"无人机 / 飞控 / FPV / 垂起固定翼","Bilibili","垂起","荒地厨师","【垂起固定翼,系统教程】2.2 _INAV完全调试，Y3垂起固定翼","https://www.bilibili.com/video/BV1HQyDBdEEK","嗯，完结了"
"无人机 / 飞控 / FPV / 垂起固定翼","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=like","","353#rc遥控车 #穿越机fpv 两栖无人机第二集，有兴趣的朋友主页加粉丝群#rc遥控车 #穿越机fpv 两栖无人机第二集，有兴趣的朋友主页加粉丝群","https://www.douyin.com/video/7500834152884882722",""
"无人机 / 飞控 / FPV / 垂起固定翼","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=like","","718陆空一体无人机终于做好啦，两个方案，你觉得哪个方案好点？#穿越机 #FPV #空地一体无人机 #教程 #RC车陆空一体无人机终于做好啦，两个方案，你觉得哪个方案好点？#穿越机 #FPV #空地一体无人机 #教程 #RC车","https://www.douyin.com/video/7495637449429044530",""
"CAD / 机械设计 / UG / SOLIDWORKS","Bilibili","默认收藏夹","一点创绘工作室","【成图大赛】16届国赛机械手，挑战一小时讲课带建模，卷王之王~~大饱眼福","https://www.bilibili.com/video/BV1TeRPYBEX8","持续更新作品，只为大家做精品教学。成图大赛16届国赛机械手，挑战一小时讲课带建模，卷王之王~~"
"CAD / 机械设计 / UG / SOLIDWORKS","Bilibili","项目","喵星考拉","转给身边机械的同学！AI时代全栈机电工程师入门指南 | 浙江大学考拉工作室暑期集训 | 机电一体化实践导论","https://www.bilibili.com/video/BV1t1gPzeErV",""
"CAD / 机械设计 / UG / SOLIDWORKS","Bilibili","项目","阿奇设计分享","SOLIDWORKS 教学 精品教程 | 2024年新修 | B站 点赞 播放 收藏 NO.1","https://www.bilibili.com/video/BV1iw411Z7HZ","快速清晰地介绍SOLIDWORKS 草图、零件、装配体、工程图的常用功能！ 由浅入深地掌握SOLIDWORKS，手把手设计出有意思的小作品，还能3D打印出来，并且完全免费！ 教程适用2012-2024的各个版本"
"CAD / 机械设计 / UG / SOLIDWORKS","Bilibili","项目","23盒子怪","40元制作一个Augelight氛围灯","https://www.bilibili.com/video/BV1PJ4m1b7Wz","材料清单 1.高硼硅玻璃筒一个直径 50mm高100mm厚5mm 2.一块602040锂电池500mAh 3.电阻一个5欧~10欧越小越亮 4.TP4056充电模块一个type-c口 5.开关一个SS12D00柄高4mm 2档3脚 6.6mm球形磁铁一个或者钢珠 7.4mm球形磁铁一个 8.LED柔性灯条正负极同端3V长110mm一根 9.M2X5自攻螺丝5颗 10.3D打印外壳 外壳模型地址：https://makerworld.com/zh/models/169602#profileId-18623"
"CAD / 机械设计 / UG / SOLIDWORKS","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","189机器人关节减速器Demo！行星、谐波和摆线 Vibecoding做了一个机器人关节减速器demo，主要是行星、谐波和摆线三种，并准备联合其他工程软件给出仿真分析报告，目前刚刚开始做，还不成熟，存在很多问题；但是这个demo效果看着倒是挺好看哈哈，大体轮廓也是有了，后续我会多做一些研究，继续推进，争取实现真正落地！ #大学生 #研究生 #机械 #AI #vibecoding机器人关节减速器Demo！行星、谐波和摆线 Vibecoding做了一个机器人关节减速器demo，主要是行星、谐波和摆线三种，并准备联合其他工程软件给出仿真分析报告，目前刚刚开始做，还不成熟，存在很多问题；但是这个demo效果看着倒是挺好看哈哈，大体轮廓也是有了，后续我会多做一些研究，继续推进，争取实现真正落地！ #大学生 #研究生 #机械 #AI #vibecoding","https://www.douyin.com/video/7648870890301590811",""
"CAD / 机械设计 / UG / SOLIDWORKS","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","1874Solidworks一键批量自动出图自动标注尺寸最新版插件 升级后的插件支持sw格式图纸标注同步支持中性格式转化来的实体零件标注，也支持用户选择基准标注丨坐标标注丨尺寸链标注丨可单个零件出图丨也可以多个零件出图 #中新智能装备 #solidworks自动标注 #solidworks机械设计 #自动出图 #Solidworks出图Solidworks一键批量自动出图自动标注尺寸最新版插件 升级后的插件支持sw格式图纸标注同步支持中性格式转化来的实体零件标注，也支持用户选择基准标注丨坐标标注丨尺寸链标注丨可单个零件出图丨也可以多个零件出图 #中新智能装备 #solidworks自动标注 #solidworks机械设计 #自动出图 #Solidworks出图","https://www.douyin.com/video/7632778660735870833",""
"CAD / 机械设计 / UG / SOLIDWORKS","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","951如何在MakerWorld半年赚2万 #makerworld模型 #3d打印 #3d打印教学 #solidworks教学 #makerworld如何在MakerWorld半年赚2万 #makerworld模型 #3d打印 #3d打印教学 #solidworks教学 #makerworld","https://www.douyin.com/video/7629014752148235941",""
"CAD / 机械设计 / UG / SOLIDWORKS","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","75SolidWorks 通过三旋翼无人机讲解爆炸动画的制作SolidWorks 通过三旋翼无人机讲解爆炸动画的制作","https://www.douyin.com/video/6829959605427129613",""
"CAD / 机械设计 / UG / SOLIDWORKS","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","2919#扣合 #solidworks教学 #solidworks#扣合 #solidworks教学 #solidworks","https://www.douyin.com/video/7594419179631012858",""
"CAD / 机械设计 / UG / SOLIDWORKS","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","1.7万Solidworks如何自动生成链条？ #solidworks建模 #三维建模 #机械设计 #嘉立创ican工具箱Solidworks如何自动生成链条？ #solidworks建模 #三维建模 #机械设计 #嘉立创ican工具箱","https://www.douyin.com/video/7600031247938637102",""
"CAD / 机械设计 / UG / SOLIDWORKS","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","1428SW成图强化技能教程-零件-30-包覆 #SOLIDWORKS #SOLIDWORKS教学 #成图大赛SW成图强化技能教程-零件-30-包覆 #SOLIDWORKS #SOLIDWORKS教学 #成图大赛","https://www.douyin.com/video/7639345343213194496",""
"CAD / 机械设计 / UG / SOLIDWORKS","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","273复刻模型网站上比较受欢迎的不可能穿越模型系列 这次我们通过建模复刻模型网站上比较受欢迎的不可能穿越模型系列， Passthrough模型，掌握了这种建模方法，各种形状的穿越模型，你都可以做出来。#建模教程#3d打印#fusion360#passthrough模型#穿越模型复刻模型网站上比较受欢迎的不可能穿越模型系列 这次我们通过建模复刻模型网站上比较受欢迎的不可能穿越模型系列， Passthrough模型，掌握了这种建模方法，各种形状的穿越模型，你都可以做出来。#建模教程#3d打印#fusion360#passthrough模型#穿越模型","https://www.douyin.com/video/7640060607874069221",""
"CAD / 机械设计 / UG / SOLIDWORKS","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","14.1万CAD一键出图！Codex秒变画图大师！ 上大二的时候学习工图，老师会给出零件图让我们在cad画，这次我让codex画一个零件图，看看能不能达到效果，果然codex还是完美的完成了任务，分析完之后秒出图，里面的线条粗细、颜色，也是他自己分类生成的，看着非常协调和标准。随着技术的发展，我们的教学方式也会发生更多的改变 #大学生 #研究生 #涨知识 #机械设计 #AICAD一键出图！Codex秒变画图大师！ 上大二的时候学习工图，老师会给出零件图让我们在cad画，这次我让codex画一个零件图，看看能不能达到效果，果然codex还是完美的完成了任务，分析完之后秒出图，里面的线条粗细、颜色，也是他自己分类生成的，看着非常协调和标准。随着技术的发展，我们的教学方式也会发生更多的改变 #大学生 #研究生 #涨知识 #机械设计 #AI","https://www.douyin.com/video/7638858871989112091",""
"CAD / 机械设计 / UG / SOLIDWORKS","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=like","","1370SW曲面第五讲，边界曲面，多种使用方式：绘制漏斗、船头、手帕、桌椅等绘制方式，由浅入深逐步对曲面学习🔥#solidworks教学 #制作过程 #教程 #干货分享 #技术分享SW曲面第五讲，边界曲面，多种使用方式：绘制漏斗、船头、手帕、桌椅等绘制方式，由浅入深逐步对曲面学习🔥#solidworks教学 #制作过程 #教程 #干货分享 #技术分享","https://www.douyin.com/video/7276403081569422652",""
"Arduino / ESP32 / 单片机 / 电机控制","Bilibili","项目","太极创客","【太极创客】零基础入门学用Arduino 第一部分 合辑","https://www.bilibili.com/video/BV164411J7GE","为了便于朋友们观看太极创客制作的教程，我们将自制的Arduino教程 制作了合辑。 太极创客团队自制的教程全部是免费开源的，我们这么做是想将更好的中文创客教程提供给广大创客朋友。 近日我们发现在网上有盗用我们的教程存在。这些教程很多存在质量问题甚至有些会插播广告。 我们诚恳的希望您不要观看盗用我们的教程，请到我们的B站频道观看原版高质的教程内容。 非常感谢您的支持！"
"Arduino / ESP32 / 单片机 / 电机控制","Bilibili","项目","ESP_Friends","ESP32-S3 Arduino IDE 开发【沉浸式教程】","https://www.bilibili.com/video/BV1HH4y1X7fb","本视频展示如何使用 Arduino IDE 快速开发一个简单的物联网项目。通过手机 APP 远程控制开关，显示实时的天气信息还有发送提醒。知识点包括：Arduino IDE 的环境搭建、简单的 Wi-Fi 连接、通过 HTTP 获取实时的天气信息、GPIO 按键、RainMaker 云端的数据交互、GPIO 输出。 Arduino IDE 下载：arduino.cc/en/software 乐鑫 Arduino ESP32 文档：docs.espressif.com/projects/arduino-e"
"Arduino / ESP32 / 单片机 / 电机控制","Bilibili","项目","喵星考拉","【考拉工作室】单片机入门——Arduino控制步进电机拖动直线模组","https://www.bilibili.com/video/BV1xo4y1G7ZA","Arduino控制步进电机。虽然是最最最简单的电机控制案例之一，但是还是很多人不会。录个视频分享给大家，这里只是入门让电机动起来哦，后面还有后续进阶教程，欢迎一键三连！粉丝群247278751欢迎大家~"
"Arduino / ESP32 / 单片机 / 电机控制","Bilibili","项目","罗大富Bigrich","2023年最新 ESP32 Arduino 教程（持续更新中）","https://www.bilibili.com/video/BV1RM4y1a7J5","本套教程致力于让您通过学习 ESP32 单片机掌握单片机原理和 Arduino 的用法，边玩边学，玩到专业！ 有什么问题，欢迎小伙伴们留言私信➕群：441203097 开发套件已上架，欢迎选购：https://item.taobao.com/item.htm?ft=t&id=734212351280 课程资料的百度网盘链接：https://pan.baidu.com/s/1BpjvshNTFozBd0ubIseWWw?pwd=geek 提取码：geek 教程文档放在了这里，方便大家查阅：http"
"3D打印 / 切片 / Klipper / DIY制造","Bilibili","默认收藏夹","咔哧一下_Cliclack","如何用真实地形数据打印一座雪山？【拓竹X2D首发体验】","https://www.bilibili.com/video/BV1EtQiBhE8b","这是一期新手向的干货分享，手把手带你3D打印一座在真实世界中存在的雪山！ 另外你如果学会了你就会发现，用这个办法可以打印这个地球上的任何地方！ ※ 应大家要求，珠穆朗玛峰模型已经上传MakerWorld，模型编号 2389515，大家可以搜索下载。 本期视频用的是拓竹新上市的双头打印机X2D，用一个较低的价格实现双头多色打印是一种什么体验？双挤出机分置设置，纯机械结构切换喷嘴，稳定输出！ 视频中喷火龙模型作者：IXPatch"
"3D打印 / 切片 / Klipper / DIY制造","Bilibili","默认收藏夹","葫芦～","告别杂乱！超实用定制收纳教程","https://www.bilibili.com/video/BV13hFfzTEks","建模网站：https://gridfinity.perplexinglabs.com/ Gridfinity 底座计算器：https://pan.baidu.com/s/1vlDxHk0j5p87ozY6LC84cA?pwd=1234 提取码: 1234 fusion360 插件 GridfinityGenerator 官网地址：https://apps.autodesk.com/FUSION/en/Detail/Index?id=7197558650811789&os=Win64&appLang=en"
"3D打印 / 切片 / Klipper / DIY制造","Bilibili","项目","风中的樱花树","DIY3D打印机：极端抠门的白嫖怪用voron0造三叉戟-OrcaSlicer基础操作，切片软件，操作教学，保姆教学，orcaSlicer2.0","https://www.bilibili.com/video/BV1BM4m1R7sJ","本篇视频为DIY Voron 三叉戟 3D打印机-OrcaSlicer基础操作 该项目预估成本1500左右 BOM单可加群获取 QQ交流群942732706"
"3D打印 / 切片 / Klipper / DIY制造","Bilibili","项目","小辰DIY","保姆教程:klipper安装后配置文件、限位测试、归零测试、PID、挤出机步进值、调平、软件使用 吐血推荐","https://www.bilibili.com/video/BV1uv4y1x7Fs","本期讲解klipper安装后的一系列操作，保姆级教程，剪视频剪到吐血，开源地址：https://gitee.com/pangqc/voron-tiny-m 配置文件、prusa软件、测试方块等都在交流群里，三连在我动态置顶扫码进 使用软件：prusa、Pr、Au 视频录制：一加9RT 操作平台：Windows 11"
"3D打印 / 切片 / Klipper / DIY制造","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=like","","841报纸可不只能糊墙，还可以做个怀旧风的笔筒，容量巨～～大！ #变废为宝 #手工diy #废物利用 #手工 #收纳报纸可不只能糊墙，还可以做个怀旧风的笔筒，容量巨～～大！ #变废为宝 #手工diy #废物利用 #手工 #收纳","https://www.douyin.com/video/7601184999748861318",""
"3D打印 / 切片 / Klipper / DIY制造","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=like","","1.4万#3d打印 #f1#3d打印 #f1","https://www.douyin.com/video/7638639751822669311",""
"3D打印 / 切片 / Klipper / DIY制造","YouTube","Watch later","","No Measuring! 2 Fast ways to Design Gridfinity Shadow Boxes","https://www.youtube.com/watch?v=fGtTYha84vc&list=WL&index=3&pp=iAQBsAgC",""
"软件工具 / 开源项目 / 影音设备","Bilibili","默认收藏夹","Lumina猫猫","Lumina 2.0前瞻","https://www.bilibili.com/video/BV16UomB5EKS","Lumina2.0已经进入内测阶段了，很快就会进入公测，让我们一起看看更新了什么吧~"
